cluster,gene,species
1,AARS2,mouse
1,DARS2,mouse
1,EEFSEC,mouse
1,MRPL2,mouse
1,MRPS30,mouse
1,MTIF2,mouse
1,PARP16,mouse
1,RACK1,mouse
1,RPL3,mouse
1,RPL4,mouse
1,RPL6,mouse
1,RPL7,mouse
1,RPL8,mouse
1,RPL11,mouse
1,RPL13,mouse
1,RPL15,mouse
1,RPL19,mouse
1,RPL22,mouse
1,RPL23,mouse
1,RPL24,mouse
1,RPL26,mouse
1,RPL28,mouse
1,RPL29,mouse
1,RPL30,mouse
1,RPL32,mouse
1,RPL35,mouse
1,RPL36,mouse
1,RPL37,mouse
1,RPL38,mouse
1,RPLP0,mouse
1,RPLP1,mouse
1,RPLP2,mouse
1,RPS2,mouse
1,RPS5,mouse
1,RPS7,mouse
1,RPS8,mouse
1,RPS9,mouse
1,RPS13,mouse
1,RPS14,mouse
1,RPS15,mouse
1,RPS16,mouse
1,RPS17,mouse
1,RPS18,mouse
1,RPS19,mouse
1,RPS21,mouse
1,RPS28,mouse
1,SRBD1,mouse
1,TCOF1,mouse
1,TSFM,mouse
2,AARSD1,mouse
2,ABCF1,mouse
2,AIMP1,mouse
2,ALKBH1,mouse
2,CAPRIN1,mouse
2,CCND1,mouse
2,CDC37,mouse
2,CNBP,mouse
2,CNOT9,mouse
2,DHFR,mouse
2,DPH5,mouse
2,ILF3,mouse
2,KHSRP,mouse
2,METTL14,mouse
2,MRPL4,mouse
2,MRPL19,mouse
2,MRPL44,mouse
2,MRPS9,mouse
2,MRPS15,mouse
2,NSUN5,mouse
2,PHB2,mouse
2,PUM2,mouse
2,PUS7,mouse
2,RPS6,mouse
2,RPS11,mouse
2,RPUSD4,mouse
2,SARS2,mouse
2,SHMT1,mouse
2,TRIM71,mouse
2,TUFM,mouse
2,UBA52,mouse
3,ABCA7,mouse
3,AGO4,mouse
3,AKT1,mouse
3,AMFR,mouse
3,APP,mouse
3,ATF6,mouse
3,ATG13,mouse
3,BTG2,mouse
3,CIRBP,mouse
3,CPEB2,mouse
3,CPEB3,mouse
3,CPEB4,mouse
3,CREB3,mouse
3,CTIF,mouse
3,GTPBP2,mouse
3,HABP4,mouse
3,IGFBP5,mouse
3,LGALS8,mouse
3,MFN2,mouse
3,NANOS3,mouse
3,NKX2-2,mouse
3,OS9,mouse
3,PAIP1,mouse
3,PCIF1,mouse
3,PER2,mouse
3,PINK1,mouse
3,PRKN,mouse
3,SERP2,mouse
3,SMURF1,mouse
3,SOX4,mouse
3,TIA1,mouse
3,TMTC4,mouse
3,UHMK1,mouse
3,VAPB,mouse
3,VIM,mouse
4,ABCE1,mouse
4,BAK1,mouse
4,CNOT1,mouse
4,CNOT2,mouse
4,CNOT11,mouse
4,EARS2,mouse
4,EDEM1,mouse
4,ETF1,mouse
4,FARSB,mouse
4,FASTKD2,mouse
4,FASTKD3,mouse
4,FMR1,mouse
4,GCN1,mouse
4,GEMIN5,mouse
4,GFM1,mouse
4,GFM2,mouse
4,GRB7,mouse
4,GSPT1,mouse
4,HSPA8,mouse
4,HUWE1,mouse
4,IMPACT,mouse
4,KBTBD8,mouse
4,LARP1,mouse
4,LARP4,mouse
4,LRPPRC,mouse
4,LTN1,mouse
4,MALSU1,mouse
4,MAPK1,mouse
4,MRPL1,mouse
4,MRPL10,mouse
4,MRPL12,mouse
4,MRPL15,mouse
4,MRPL18,mouse
4,MRPS2,mouse
4,MRPS5,mouse
4,MRPS10,mouse
4,MRPS27,mouse
4,MRPS35,mouse
4,NAT10,mouse
4,NCL,mouse
4,NEMF,mouse
4,NOA1,mouse
4,NUFIP1,mouse
4,PTPN2,mouse
4,PUM3,mouse
4,QRSL1,mouse
4,RARS2,mouse
4,RPL34,mouse
4,RWDD1,mouse
4,ST13,mouse
4,TARS2,mouse
4,TOMM7,mouse
4,TPR,mouse
4,UBQLN1,mouse
4,UPF1,mouse
4,YARS2,mouse
7,ADRB2,mouse
7,CALR3,mouse
7,CANX,mouse
7,DND1,mouse
7,DPH6,mouse
7,ERN2,mouse
7,FOXO3,mouse
7,GIGYF2,mouse
7,MRPL16,mouse
7,MRPS14,mouse
7,NDUFA7,mouse
7,NOD2,mouse
7,OGFOD1,mouse
7,PATL2,mouse
7,PIWIL2,mouse
7,RIDA,mouse
7,RIPK2,mouse
7,STBD1,mouse
7,STING1,mouse
7,TMED2,mouse
7,UCN,mouse
7,UFL1,mouse
7,VDAC1,mouse
9,AGO2,mouse
9,ATF3,mouse
9,AUP1,mouse
9,BAG3,mouse
9,BCL3,mouse
9,CAPRIN2,mouse
9,CYFIP1,mouse
9,EEF2,mouse
9,EFL1,mouse
9,ERMP1,mouse
9,FBXO7,mouse
9,FXR1,mouse
9,GATB,mouse
9,IARS2,mouse
9,METTL5,mouse
9,MOV10,mouse
9,MRPL23,mouse
9,MRPS16,mouse
9,MTG1,mouse
9,MTRF1,mouse
9,NARS2,mouse
9,PRKDC,mouse
9,PSTK,mouse
9,RMND1,mouse
9,ROCK2,mouse
9,SEPSECS,mouse
9,SHFL,mouse
9,TRAP1,mouse
9,TSPO,mouse
9,ZCCHC4,mouse
10,AIMP2,mouse
10,ATG5,mouse
10,BAX,mouse
10,BHLHA15,mouse
10,CARS2,mouse
10,CELF1,mouse
10,DENR,mouse
10,DHX9,mouse
10,DHX29,mouse
10,DPH2,mouse
10,DRG1,mouse
10,DRG2,mouse
10,EIF5,mouse
10,EIF6,mouse
10,FARSA,mouse
10,GLE1,mouse
10,HNRNPD,mouse
10,MAGOH,mouse
10,METTL3,mouse
10,METTL16,mouse
10,MKNK2,mouse
10,MRPL11,mouse
10,MRPL21,mouse
10,MRPL35,mouse
10,MRPL47,mouse
10,MRPL51,mouse
10,MRPL55,mouse
