Label,Gene_x,Taxon_x,Reference_x,Gene_y,Taxon_y,Reference_y,Ontology
RNF126,E3 ubiquitin-protein ligase RNF126,NCBITaxon:9606,PMID:24981174,ring finger protein 126,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0071629
BFAR,Bifunctional apoptosis regulator,NCBITaxon:9606,PMID:21068390,bifunctional apoptosis regulator,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0030968
BHLHA15,Class A basic helix-loop-helix protein 15,NCBITaxon:9606,GO_REF:0000024,"basic helix-loop-helix family, member a15",NCBITaxon:10090,MGI:MGI:5607242|PMID:17612490,GO0030968
ERMP1,Endoplasmic reticulum metallopeptidase 1,NCBITaxon:9606,PMID:27566589,endoplasmic reticulum metallopeptidase 1,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0030968
PARP16,Protein mono-ADP-ribosyltransferase PARP16,NCBITaxon:9606,PMID:23103912,"poly (ADP-ribose) polymerase family, member 16",NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0030968
TMEM33,Transmembrane protein 33,NCBITaxon:9606,PMID:26268696,transmembrane protein 33,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0030968
ATF6,Cyclic AMP-dependent transcription factor ATF-6 alpha,NCBITaxon:9606,PMID:19816510,activating transcription factor 6,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0030968
ATF4,Cyclic AMP-dependent transcription factor ATF-4,NCBITaxon:9606,GO_REF:0000024,activating transcription factor 4,NCBITaxon:10090,MGI:MGI:5496937|PMID:23624402,GO0030968
ATF3,Cyclic AMP-dependent transcription factor ATF-3,NCBITaxon:9606,Reactome:R-HSA-381042,activating transcription factor 3,NCBITaxon:10090,MGI:MGI:3722921|PMID:14729979,GO0030968
CREBRF,CREB3 regulatory factor,NCBITaxon:9606,Reactome:R-HSA-381119,CREB3 regulatory factor,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0030968
TMED2,Transmembrane emp24 domain-containing protein 2,NCBITaxon:9606,GO_REF:0000107,transmembrane p24 trafficking protein 2,NCBITaxon:10090,MGI:MGI:5914333|PMID:28797121,GO0030968
PTPN1,Tyrosine-protein phosphatase non-receptor type 1,NCBITaxon:9606,PMID:22169477,"protein tyrosine phosphatase, non-receptor type 1",NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0030968
HSPA5,Endoplasmic reticulum chaperone BiP,NCBITaxon:9606,PMID:19816510,heat shock protein 5,NCBITaxon:10090,MGI:MGI:4437543|PMID:19816510,GO0030968
UFL1,E3 UFM1-protein ligase 1,NCBITaxon:9606,PMID:32160526,UFM1 specific ligase 1,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0030968
ATF6B,Cyclic AMP-dependent transcription factor ATF-6 beta,NCBITaxon:9606,PMID:22013210,activating transcription factor 6 beta,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0030968
ABCA7,Phospholipid-transporting ATPase ABCA7,NCBITaxon:9606,GO_REF:0000024,"ATP-binding cassette, sub-family A (ABC1), member 7",NCBITaxon:10090,MGI:MGI:5774886|PMID:27030769,GO0030968
COPS5,COP9 signalosome complex subunit 5,NCBITaxon:9606,PMID:15234121,COP9 signalosome subunit 5,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0030968
WFS1,Wolframin,NCBITaxon:9606,Reactome:R-HSA-381070,wolframin ER transmembrane glycoprotein,NCBITaxon:10090,MGI:MGI:3629256|PMID:16571599,GO0030968
PDIA6,Protein disulfide-isomerase A6,NCBITaxon:9606,Reactome:R-HSA-381070,protein disulfide isomerase associated 6,NCBITaxon:10090,MGI:MGI:5571560|PMID:24508390,GO0030968
HERPUD1,Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 1 protein,NCBITaxon:9606,Reactome:R-HSA-381042,"homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1",NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0030968
CREB3L4,Cyclic AMP-responsive element-binding protein 3-like protein 4,NCBITaxon:9606,GO_REF:0000002,cAMP responsive element binding protein 3-like 4,NCBITaxon:10090,MGI:MGI:2152098|GO_REF:0000002,GO0030968
EIF2AK3,Eukaryotic translation initiation factor 2-alpha kinase 3,NCBITaxon:9606,PMID:10677345,eukaryotic translation initiation factor 2 alpha kinase 3,NCBITaxon:10090,MGI:MGI:1858648|PMID:10882126,GO0030968
ERN2,Serine/threonine-protein kinase/endoribonuclease IRE2,NCBITaxon:9606,PMID:21873635,endoplasmic reticulum (ER) to nucleus signalling 2,NCBITaxon:10090,PMID:21873635,GO0030968
DERL2,Derlin-2,NCBITaxon:9606,PMID:16449189,"Der1-like domain family, member 2",NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0030968
RNF121,RING finger protein 121,NCBITaxon:9606,PMID:21873635,ring finger protein 121,NCBITaxon:10090,PMID:21873635,GO0030968
TMTC4,Protein O-mannosyl-transferase TMTC4,NCBITaxon:9606,GO_REF:0000107,transmembrane and tetratricopeptide repeat containing 4,NCBITaxon:10090,MGI:MGI:6270315|PMID:30188326,GO0030968
CCND1,G1/S-specific cyclin-D1,NCBITaxon:9606,GO_REF:0000107,cyclin D1,NCBITaxon:10090,MGI:MGI:3620306|PMID:16176978,GO0030968
CLGN,Calmegin,NCBITaxon:9606,PMID:21873635,calmegin,NCBITaxon:10090,PMID:21873635,GO0030968
DERL3,Derlin-3,NCBITaxon:9606,PMID:16449189,"Der1-like domain family, member 3",NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0030968
HERPUD2,Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 2 protein,NCBITaxon:9606,PMID:21873635,HERPUD family member 2,NCBITaxon:10090,PMID:21873635,GO0030968
FICD,Protein adenylyltransferase FICD,NCBITaxon:9606,PMID:25601083,FIC domain containing,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0030968
CREB3L3,Cyclic AMP-responsive element-binding protein 3-like protein 3,NCBITaxon:9606,Reactome:R-HSA-381119,cAMP responsive element binding protein 3-like 3,NCBITaxon:10090,MGI:MGI:2152098|GO_REF:0000002,GO0030968
DNAJC3,DnaJ homolog subfamily C member 3,NCBITaxon:9606,Reactome:R-HSA-381070,DnaJ heat shock protein family (Hsp40) member C3,NCBITaxon:10090,MGI:MGI:4418606|PMID:18923430,GO0030968
DERL1,Derlin-1,NCBITaxon:9606,PMID:15215856,"Der1-like domain family, member 1",NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0030968
BAX,Apoptosis regulator BAX,NCBITaxon:9606,PMID:16645094,BCL2-associated X protein,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0030968
EP300,Histone acetyltransferase p300,NCBITaxon:9606,GO_REF:0000024,E1A binding protein p300,NCBITaxon:10090,MGI:MGI:5607229|PMID:20955178,GO0030968
DDIT3,DNA damage-inducible transcript 3 protein,NCBITaxon:9606,GO_REF:0000024,DNA-damage inducible transcript 3,NCBITaxon:10090,MGI:MGI:5496937|PMID:23624402,GO0030968
NCK1,Cytoplasmic protein NCK1,NCBITaxon:9606,PMID:14676213,non-catalytic region of tyrosine kinase adaptor protein 1,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0030968
CREB3,Cyclic AMP-responsive element-binding protein 3,NCBITaxon:9606,PMID:16940180,cAMP responsive element binding protein 3,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0030968
CANX,Calnexin,NCBITaxon:9606,PMID:21873635,calnexin,NCBITaxon:10090,PMID:21873635,GO0030968
XBP1,X-box-binding protein 1,NCBITaxon:9606,GO_REF:0000024,X-box binding protein 1,NCBITaxon:10090,MGI:MGI:5607229|PMID:20955178,GO0030968
AGR2,Anterior gradient protein 2 homolog,NCBITaxon:9606,PMID:23220234,anterior gradient 2,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0030968
ERN1,Serine/threonine-protein kinase/endoribonuclease IRE1,NCBITaxon:9606,PMID:11779465,endoplasmic reticulum (ER) to nucleus signalling 1,NCBITaxon:10090,MGI:MGI:2136067|PMID:11430819,GO0030968
SELENOS,Selenoprotein S,NCBITaxon:9606,PMID:15215856,selenoprotein S,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0030968
STUB1,E3 ubiquitin-protein ligase CHIP,NCBITaxon:9606,GO_REF:0000107,STIP1 homology and U-Box containing protein 1,NCBITaxon:10090,MGI:MGI:5582182|PMID:12150907,GO0030968
CALR3,Calreticulin-3,NCBITaxon:9606,PMID:21873635,calreticulin 3,NCBITaxon:10090,PMID:21873635,GO0030968
CALR,Calreticulin,NCBITaxon:9606,Reactome:R-HSA-381033,calreticulin,NCBITaxon:10090,PMID:21873635,GO0030968
YOD1,Ubiquitin thioesterase OTU1,NCBITaxon:9606,PMID:19818707,YOD1 deubiquitinase,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0030968
PPP1R15A,Protein phosphatase 1 regulatory subunit 15A,NCBITaxon:9606,PMID:22013210,"protein phosphatase 1, regulatory subunit 15A",NCBITaxon:10090,MGI:MGI:3525819|PMID:15601821,GO0030968
PTPN2,Tyrosine-protein phosphatase non-receptor type 2,NCBITaxon:9606,GO_REF:0000107,"protein tyrosine phosphatase, non-receptor type 2",NCBITaxon:10090,MGI:MGI:5619464|PMID:21216966,GO0030968
PIK3R1,Phosphatidylinositol 3-kinase regulatory subunit alpha,NCBITaxon:9606,PMID:20348923,phosphoinositide-3-kinase regulatory subunit 1,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0030968
NFE2L2,Nuclear factor erythroid 2-related factor 2,NCBITaxon:9606,GO_REF:0000024,"nuclear factor, erythroid derived 2, like 2",NCBITaxon:10090,MGI:MGI:2677605|PMID:14517290,GO0030968
CREB3L1,Cyclic AMP-responsive element-binding protein 3-like protein 1,NCBITaxon:9606,GO_REF:0000024,cAMP responsive element binding protein 3-like 1,NCBITaxon:10090,MGI:MGI:4438316|PMID:19767743,GO0030968
AMFR,E3 ubiquitin-protein ligase AMFR,NCBITaxon:9606,PMID:17157811,autocrine motility factor receptor,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0030968
