cluster	gene
1	AARS2
1	AGO2
1	MARS2
1	MRPL2
1	MRPL12
1	MRPL14
1	NARS2
1	OGFOD1
1	PDIA6
1	PUM2
1	PYM1
1	RHBDD1
1	RPS19
1	SECISBP2
1	TUFM
1	UBA52
1	UQCC1
1	ZCCHC4
2	AARSD1
2	BTG2
2	CASC3
2	CNOT6
2	COA3
2	FICD
2	GIGYF2
2	IGHMBP2
2	IRX3
2	ITGA2
2	JMJD4
2	METTL3
2	MFN2
2	MRPL57
2	NPLOC4
2	PAX6
2	UFD1
3	ABCA7
3	EDEM2
3	ENC1
3	GRM5
3	OS9
3	STAT3
4	ABCE1
4	CDC37
4	DHX33
4	EARS2
4	ETF1
4	FARSB
4	LARS2
4	MALSU1
4	MRPL1
4	MRPL3
4	MRPL13
4	MRPL18
4	MRPL37
4	MRPS12
4	MRPS16
4	NCL
4	NUFIP1
4	PTCD3
4	PUM3
4	PUS7
4	RPUSD4
4	SHMT1
4	TSFM
4	YARS2
4	YTHDF1
4	YTHDF2
5	ABCF1
5	AIMP2
5	CDK4
5	CDKAL1
5	CELF1
5	CNBP
5	CNOT1
5	CYFIP1
5	DARS2
5	DHX9
5	DPH2
5	EFL1
5	GCN1
5	HNRNPD
5	HTT
5	KHSRP
5	MAGOH
5	METTL16
5	METTL17
5	MRPL4
5	MRPL11
5	MRPL15
5	MRPL22
5	MRPL39
5	MRPL58
5	MRPS7
5	MRPS23
5	MRPS34
5	MRRF
5	MTG1
5	MTOR
5	NAT10
5	PKM
5	PRKDC
5	RPS15
5	RPS21
5	TCOF1
5	TPR
5	TRIM71
5	TYMS
6	ABTB1
6	AGO1
6	FAF2
6	FBXO7
6	MAPK1
6	NCK2
6	OLIG2
6	PAIP2
6	PDCL
6	TMEM33
6	UHMK1
6	WDFY3
7	ACO1
7	ANG
7	CPEB1
7	DNAJC1
7	PATL2
7	RWDD1
7	SREBF1
7	TIGAR
7	TSPO
7	UCN
8	ADRB2
8	CALCOCO2
8	DALRD3
8	DNAJC3
8	DPH1
8	NOD2
8	STING1
8	WFS1
9	AGO3
9	AKT1
9	AMFR
9	ATF6
9	BCL3
9	CPEB3
9	CPEB4
9	CTIF
9	DDIT3
9	DDRGK1
9	DPH3
9	EDEM1
9	FOXO3
9	GATC
9	HERPUD1
9	NKX2-2
9	PINK1
9	SELENOS
9	SQSTM1
9	SYVN1
9	TEX264
9	ZFP36
10	AGO4
10	AMBRA1
10	ATG13
10	CLGN
10	DDX6
10	PCIF1
10	PRKN
10	TIA1
10	TMTC4
10	UNK
10	WIPI2
11	AIMP1
11	CALR3
11	DENR
11	ERMP1
11	ERN2
11	KRT17
11	MRPS25
11	TMEM129
11	TOMM7
11	YBX2
12	AKT2
12	CARS2
12	ERBB2
12	FARS2
12	HERPUD2
12	MRPL43
12	PUM1
12	TARBP2
13	ALKBH1
13	ATG14
13	BAG5
13	DERL1
13	SYNCRIP
14	APOD
14	BECN1
14	CIRBP
14	DERL2
14	FMR1
14	GSPT2
14	GTPBP2
14	HDAC6
14	IGFBP5
14	PLXNB2
14	RETREG1
14	RGS2
14	STUB1
15	APP
15	BCAP31
15	CANX
15	ERLEC1
15	GFM2
15	GGT7
15	LAMP2
15	LARP6
15	LRSAM1
15	MAPK3
15	NANOS3
15	PAIP1
15	PLD1
15	RNF41
15	SHFL
15	TOB1
15	USP30
16	ATF3
16	BOK
17	ATF4
17	BAX
17	GSPT1
17	LARP4
17	MARS1
17	MRPL21
17	MRPL41
17	MRPS17
17	MRPS30
17	NCK1
17	PHB2
17	PTAFR
17	SARNP
17	SERP1
17	SHMT2
17	VDAC1
18	ATG5
18	BAK1
18	CNOT10
18	CNOT11
18	DPH5
18	DPH6
18	DRG2
18	FASTKD3
18	FXR1
18	IARS2
18	LRPPRC
18	METTL5
18	MRPL19
18	MRPL30
18	MRPL55
18	MRPS15
18	MTFMT
18	MTIF2
18	MTRF1
18	NCBP1
18	PARP16
18	PTPN2
18	RACK1
18	RIDA
18	RMND1
18	ROCK1
18	RPL7
18	RPL15
18	RPL22
18	RPL23
18	RPL28
18	RPL29
18	RPL34
18	RPL38
18	RPUSD3
18	TARS2
18	UBAC2
18	WARS2
19	AUP1
19	BFAR
19	CHCHD1
19	CNOT2
19	DHFR
19	DPH7
19	GATB
19	GLE1
19	MRPL17
19	MRPL24
19	MRPL32
19	MRPL52
19	MRPS6
19	MTG2
19	NANOS1
19	NOD1
19	QRSL1
19	RNF121
19	RNF126
19	SARS2
19	TACO1
19	TMA7
19	TRUB2
19	UQCC2
20	BAG3
20	CPEB2
20	CREBRF
20	CTTN
20	DND1
20	EEFSEC
20	EIF1
20	ERN1
20	FBXW7
20	FXR2
20	HSPB8
