gene_id	0	0.5	1	1.5	2	2.5	3	3.5	4	5	6	7
ENSMUSG00000000001	13.25049611	13.16980899	13.08882023	13.18326976	12.90895046	13.23868975	13.14322704	13.29380377	13.17392829	13.19343533	13.12322737	13.07659865
ENSMUSG00000000028	11.69014304	12.00061468	12.04844554	12.08235239	11.77830166	11.61506604	11.39143829	11.43095962	11.23769657	11.10374422	10.73693023	10.66974752
ENSMUSG00000000031	11.09137684	11.9541071	12.1687139	11.83923153	12.21149548	12.28933125	13.03860703	12.47845148	13.15423761	13.81874475	13.60951774	13.24301346
ENSMUSG00000000037	10.70857479	10.64769255	10.58992613	10.50088572	10.49351468	10.46875444	10.39857906	10.40106713	10.39188387	10.41450873	10.39507316	10.45291508
ENSMUSG00000000049	10.02407096	10.02407096	10.03862402	10.03844564	10.02407096	10.03852052	10.02407096	10.05386554	10.04457642	10.02407096	10.04360595	10.08906831
ENSMUSG00000000056	11.49870052	11.90448265	11.73476278	11.98014107	12.04853728	12.42118445	12.31013573	12.49375941	12.47184221	12.6708868	12.59779441	12.77554177
ENSMUSG00000000058	10.28895804	10.19105713	10.2183984	10.17998591	10.22584728	10.24473766	10.35706222	10.2260637	10.29152972	10.27376941	10.3099736	10.28752469
ENSMUSG00000000078	12.18127654	11.55805699	11.56632431	11.36547724	11.60793744	11.5530496	11.76264652	11.68411945	11.72504468	11.82167816	11.95187936	12.10097308
ENSMUSG00000000085	11.21477021	11.3027758	11.28848636	11.2952923	11.45431926	11.5179256	11.57179409	11.55396858	11.55962747	11.51946343	11.55359016	11.59084098
ENSMUSG00000000088	12.39182021	12.39544146	12.29884543	12.46299876	12.24315603	12.41038383	12.36679798	12.49895917	12.32934665	12.36628787	12.14537984	12.16696392
ENSMUSG00000000093	10.13773405	10.2067548	10.20445974	10.20383307	10.21350756	10.39969144	10.69626101	10.87024896	10.79947075	10.81710777	10.49297913	10.53289713
ENSMUSG00000000094	10.36654594	10.31134956	10.28101579	10.19499773	10.22954774	10.15035128	10.16701943	10.10276712	10.10913335	10.08027108	10.07990559	10.08373446
