cluster	gene
1	AARS2
1	DARS2
1	EEFSEC
1	MRPL2
1	MRPS30
1	MTIF2
1	PARP16
1	RACK1
1	RPL3
1	RPL4
1	RPL6
1	RPL7
1	RPL8
1	RPL11
1	RPL13
1	RPL15
1	RPL19
1	RPL22
1	RPL23
1	RPL24
1	RPL26
1	RPL28
1	RPL29
1	RPL30
1	RPL32
1	RPL35
1	RPL36
1	RPL37
1	RPL38
1	RPLP0
1	RPLP1
1	RPLP2
1	RPS2
1	RPS5
1	RPS7
1	RPS8
1	RPS9
1	RPS13
1	RPS14
1	RPS15
1	RPS16
1	RPS17
1	RPS18
1	RPS19
1	RPS21
1	RPS28
1	SRBD1
1	TCOF1
1	TSFM
2	AARSD1
2	ABCF1
2	AIMP1
2	ALKBH1
2	CAPRIN1
2	CCND1
2	CDC37
2	CNBP
2	CNOT9
2	DHFR
2	DPH5
2	ILF3
2	KHSRP
2	METTL14
2	MRPL4
2	MRPL19
2	MRPL44
2	MRPS9
2	MRPS15
2	NSUN5
2	PHB2
2	PUM2
2	PUS7
2	RPS6
2	RPS11
2	RPUSD4
2	SARS2
2	SHMT1
2	TRIM71
2	TUFM
2	UBA52
3	ABCA7
3	AGO4
3	AKT1
3	AMFR
3	APP
3	ATF6
3	ATG13
3	BTG2
3	CIRBP
3	CPEB2
3	CPEB3
3	CPEB4
3	CREB3
3	CTIF
3	GTPBP2
3	HABP4
3	IGFBP5
3	LGALS8
3	MFN2
3	NANOS3
3	NKX2-2
3	OS9
3	PAIP1
3	PCIF1
3	PER2
3	PINK1
3	PRKN
3	SERP2
3	SMURF1
3	SOX4
3	TIA1
3	TMTC4
3	UHMK1
3	VAPB
3	VIM
4	ABCE1
4	BAK1
4	CNOT1
4	CNOT2
4	CNOT11
4	EARS2
4	EDEM1
4	ETF1
4	FARSB
4	FASTKD2
4	FASTKD3
4	FMR1
4	GCN1
4	GEMIN5
4	GFM1
4	GFM2
4	GRB7
4	GSPT1
4	HSPA8
4	HUWE1
4	IMPACT
4	KBTBD8
4	LARP1
4	LARP4
4	LRPPRC
4	LTN1
4	MALSU1
4	MAPK1
4	MRPL1
4	MRPL10
4	MRPL12
4	MRPL15
4	MRPL18
4	MRPS2
4	MRPS5
4	MRPS10
4	MRPS27
4	MRPS35
4	NAT10
4	NCL
4	NEMF
4	NOA1
4	NUFIP1
4	PTPN2
4	PUM3
4	QRSL1
4	RARS2
4	RPL34
4	RWDD1
4	ST13
4	TARS2
4	TOMM7
4	TPR
4	UBQLN1
4	UPF1
4	YARS2
5	ABTB1
5	AGO3
5	CNOT8
5	METTL17
5	MRPL32
5	MRRF
5	OLIG2
5	PTAFR
5	UNK
5	WARS2
6	ACO1
6	AKT2
6	CDKAL1
6	CNOT10
6	DPH1
6	ERBB2
6	GTPBP1
6	HTRA2
6	IRX3
6	MRPL14
6	PARS2
6	PAX6
6	PIWIL4
6	PUM1
6	WIPI2
7	ADRB2
7	CALR3
7	CANX
7	DND1
7	DPH6
7	ERN2
7	FOXO3
7	GIGYF2
7	MRPL16
7	MRPS14
7	NDUFA7
7	NOD2
7	OGFOD1
7	PATL2
7	PIWIL2
7	RIDA
7	RIPK2
7	STBD1
7	STING1
7	TMED2
7	UCN
7	UFL1
7	VDAC1
8	AGO1
8	BAG5
8	COA3
8	CTTN
8	FAF2
8	FBXW7
8	MRPL41
8	PTPN1
8	RBM4
8	RNF121
8	SYVN1
8	TMEM33
8	UFD1
8	WDFY3
9	AGO2
9	ATF3
9	AUP1
9	BAG3
9	BCL3
9	CAPRIN2
9	CYFIP1
9	EEF2
9	EFL1
9	ERMP1
9	FBXO7
9	FXR1
9	GATB
9	IARS2
9	METTL5
9	MOV10
9	MRPL23
9	MRPS16
9	MTG1
9	MTRF1
9	NARS2
9	PRKDC
9	PSTK
9	RMND1
9	ROCK2
9	SEPSECS
9	SHFL
9	TRAP1
9	TSPO
9	ZCCHC4
10	AIMP2
10	ATG5
10	BAX
10	BHLHA15
10	CARS2
10	CELF1
10	DENR
10	DHX9
10	DHX29
10	DPH2
10	DRG1
10	DRG2
10	EIF5
10	EIF6
10	FARSA
10	GLE1
10	HNRNPD
10	MAGOH
10	METTL3
10	METTL16
10	MKNK2
10	MRPL11
10	MRPL21
10	MRPL35
10	MRPL47
10	MRPL51
10	MRPL55
10	MRPS7
10	NCBP1
10	NPLOC4
10	PTCD3
10	PYM1
10	SARNP
10	SECISBP2
10	SYNCRIP
10	TARBP2
